"timestamp_utc","action","ticker","price","shares","entry_price","pl_usd","purification_usd","balance_after_usd"
"2026-08-05T14:05:54","BUY","AAPL","307.9299","0.0866","307.9299","","","26.6667"
"2026-08-05T14:42:08","SELL","AAPL","307.88","0.0866","307.9299","-0.0043","0","26.6624"
"2026-08-05T16:53:10","BUY","AAPL","308.96","0.086297","308.96","","","26.6624"
"2026-08-07T15:39:55","SELL","AAPL","312.65","0.086297","308.96","0.3184","0.0318","26.949"
"2026-08-07T18:09:25","BUY","AAPL","312.5799","0.086215","312.5799","","","26.949"
"2026-08-10T16:10:39","SELL","AAPL","306.05","0.086215","312.5799","-0.563","0","26.386"
"2026-08-10T19:42:58","BUY","AAPL","307.4","0.085836","307.4","","","26.386"
"2026-08-11T14:18:36","SELL","AAPL","306.33","0.085836","307.4","-0.0918","0","26.2942"
"2026-08-11T15:20:24","BUY","AMD","470.165","0.055925","470.165","","","26.2942"
"2026-08-11T15:25:23","SELL","AMD","469.052","0.055925","470.165","-0.0622","0","26.232"
"2026-08-11T16:13:01","BUY","AAPL","306.765","0.085512","306.765","","","26.232"
"2026-08-11T19:49:54","SELL","AAPL","304.51","0.085512","306.765","-0.1928","0","26.0392"
"2026-08-12T16:12:03","BUY","TSLA","326.61","0.079726","326.61","","","26.0392"
"2026-08-12T17:45:23","SELL","TSLA","325.9207","0.079726","326.61","-0.055","0","25.9842"
"2026-08-12T18:55:21","BUY","TSLA","327.3","0.07939","327.3","","","25.9842"
"2026-08-14T15:00:34","SELL","TSLA","341.245","0.07939","327.3","1.1071","0.1107","26.9806"
"2026-08-14T15:37:38","BUY","AAPL","305.71","0.088256","305.71","","","26.9806"
"2026-08-14T19:15:21","SELL","AAPL","305.46","0.088256","305.71","-0.0221","0","26.9585"
"2026-08-14T20:08:04","BUY","AAPL","305.93","0.08812","305.93","","","26.9585"
"2026-08-17T14:00:39","SELL","AAPL","305.49","0.08812","305.93","-0.0388","0","26.9197"
"2026-08-17T14:58:29","BUY","TSLA","341.5","0.078828","341.5","","","26.9197"
"2026-08-17T16:59:42","SELL","TSLA","339.9001","0.078828","341.5","-0.1261","0","26.7936"
"2026-08-17T17:20:27","BUY","AAPL","304.31","0.088047","304.31","","","26.7936"
"2026-08-18T17:50:25","SELL","AAPL","310.13","0.088047","304.31","0.5124","0.0512","27.2548"
"2026-08-18T17:55:22","BUY","GOOGL","343.57","0.079328","343.57","","","27.2548"
"2026-08-18T17:59:57","SELL","GOOGL","343.24","0.079328","343.57","-0.0262","0","27.2286"
"2026-08-18T18:15:25","BUY","AAPL","310.505","0.087691","310.505","","","27.2286"
"2026-08-18T19:10:28","SELL","AAPL","309.83","0.087691","310.505","-0.0592","0","27.1694"
"2026-08-18T19:20:24","BUY","GOOGL","343.72","0.079045","343.72","","","27.1694"
"2026-08-19T13:35:21","SELL","GOOGL","341.62","0.079045","343.72","-0.166","0","27.0034"
"2026-08-19T13:40:27","BUY","MSFT","483.796","0.055816","483.796","","","27.0034"
"2026-08-19T13:45:44","SELL","MSFT","480.8001","0.055816","483.796","-0.1672","0","26.8362"
